bloque,bloque_nombre,familia,parametro,subescala,instrumento,N,escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
1,Replica directa (8 familias),gamma,4,NA,NA,NA,NA,NA,25,10000,0.3731,0.3101,0.2163,0.2221,0.3047,0.2762,0.3557,0.1813,0.1707,0.2012,0.3591,0,0,0,0,0,0,0,0,0,0,0,69.31188797950745
1,Replica directa (8 familias),gamma,4,NA,NA,NA,NA,NA,50,10000,0.6882,0.5805,0.4001,0.4951,0.5489,0.5173,0.6518,0.2741,0.2617,0.3607,0.6562,0,0,0,0,0,0,0,0,0,0,0,66.99666500091553
1,Replica directa (8 familias),gamma,4,NA,NA,NA,NA,NA,100,10000,0.96,0.8928,0.7077,0.8663,0.8808,0.8391,0.9442,0.5187,0.4014,0.6668,0.9427,0,0,0,0,0,0,0,0,0,0,0,65.75387382507324
1,Replica directa (8 familias),gamma,4,NA,NA,NA,NA,NA,250,10000,1,0.9994,0.9826,0.9997,0.9997,0.9983,1,0.9432,0.6808,0.9727,0.9998,0,0,0,0,0,0,0,0,0,0,0,69.8765799999237
1,Replica directa (8 familias),gamma,4,NA,NA,NA,NA,NA,500,10000,1,1,0.9999,1,1,1,1,0.9999,0.8976,0.9998,1,0,0,0,0,0,0,0,0,0,0,0,83.95964765548706
1,Replica directa (8 familias),gamma,6,NA,NA,NA,NA,NA,10,10000,0.1038,0.0972,0.086,0.0263,NA,0.0921,0.1117,0.1003,0.075,0.1083,0.1059,0,0,0,0,10000,0,0,0,0,0,0,65.44624900817871
1,Replica directa (8 familias),gamma,6,NA,NA,NA,NA,NA,25,10000,0.2612,0.2186,0.1537,0.1597,0.2258,0.1969,0.2493,0.1253,0.1374,0.1648,0.2588,0,0,0,0,0,0,0,0,0,0,0,67.36961936950684
1,Replica directa (8 familias),gamma,6,NA,NA,NA,NA,NA,50,10000,0.5078,0.4145,0.2843,0.3649,0.4199,0.3648,0.4821,0.174,0.2082,0.2659,0.4955,0,0,0,0,0,0,0,0,0,0,0,65.06660580635071
1,Replica directa (8 familias),gamma,6,NA,NA,NA,NA,NA,100,10000,0.836,0.7231,0.521,0.702,0.7277,0.647,0.8027,0.314,0.2847,0.478,0.8173,0,0,0,0,0,0,0,0,0,0,0,63.63480091094971
1,Replica directa (8 familias),gamma,6,NA,NA,NA,NA,NA,250,10000,0.9984,0.9886,0.9088,0.9942,0.9949,0.9729,0.9973,0.7351,0.4995,0.8644,0.9972,0,0,0,0,0,0,0,0,0,0,0,70.4527440071106
